Area,Community,Grand Total Crimes
Central,Loop,2184
Central,Near North Side,2427
Far North Side,Rogers Park,2224
Far North Side,O'Hare,1594
Far Southeast Side,South Chicago,2350
Far Southeast Side,Roseland,2500
Far Southwest Side,Morgan Park,1949
Far Southwest Side,Washington Heights,2126
North Side,Logan Square,2218
North Side,Lincoln Park,1912
Northwest Side,Portage Park,2106
Northwest Side,Irving Park,2031
Southside,Hyde Park,1674
Southside,South Shore,2472
Southwest Side,Englewood,2528
Southwest Side,McKinley Park,1670
West Side,Austin,2759
West Side,Humboldt Park,2587
